name	condition	replicate	intensity
NP_001001534	m_wt	736	28.364653205109615
DES	m_wt	736	28.742397231509592
ITIH4	m_wt	736	NA
AKR1B1	m_wt	736	27.885532168194956
ATP1B1	m_wt	736	NA
MBP	m_wt	736	NA
RPS28	m_wt	736	NA
TPM3	m_wt	736	NA
RPS17	m_wt	736	NA
RPL32	m_wt	736	NA
PDLIM3	m_wt	736	NA
RPL11	m_wt	736	NA
MAOA	m_wt	736	28.06748302413385
EPHX2	m_wt	736	26.322012707870293
XP_020946860	m_wt	736	NA
GDI2	m_wt	736	29.756590933368877
CDH5	m_wt	736	26.108868500694133
CYB5A	m_wt	736	29.022977508200217
FBN1	m_wt	736	30.93262484395895
TNNC2	m_wt	736	NA
TNNT3	m_wt	736	NA
LGALS1	m_wt	736	32.09096691717721
RNF114	m_wt	736	24.849859384276396
APOC3	m_wt	736	26.874083074663414
FABP4	m_wt	736	34.916876866580026
C1QA	m_wt	736	22.29608497354022
APOF	m_wt	736	27.086184180651067
DSTN	m_wt	736	26.62282354797431
HMGB1	m_wt	736	27.49724189894552
ATP6V1A	m_wt	736	25.49759215450809
CFL1	m_wt	736	30.062010429239923
S100A11	m_wt	736	26.018479686399004
NP_001004049	m_wt	736	24.999852431338653
PREP	m_wt	736	25.59209222396436
DDX39B	m_wt	736	26.6909907550205
ALB	m_wt	736	37.9067336206532
TMBIM6	m_wt	736	24.947842013775258
C1S	m_wt	736	26.243761769665863
XP_013848366	m_wt	736	33.47472125373907
GBA	m_wt	736	NA
MYLPF	m_wt	736	NA
QKI	m_wt	736	NA
COX5B	m_wt	736	27.53652943882795
HSPB1	m_wt	736	32.263968823495425
NR3C1	m_wt	736	NA
XP_013840479	m_wt	736	NA
CA3	m_wt	736	33.224465324733345
SAR1B	m_wt	736	24.716229585982926
LMCD1	m_wt	736	NA
RDX	m_wt	736	25.317172167374416
STMN1	m_wt	736	NA
LAMP1	m_wt	736	24.31188243521189
HEBP1	m_wt	736	26.5993188017546
AHCY	m_wt	736	27.191876562291824
ABHD5	m_wt	736	25.059614460247165
DMD	m_wt	736	24.047517359966054
COL5A1	m_wt	736	NA
GUCY1B1	m_wt	736	23.361853842301954
GUCY1A1	m_wt	736	NA
CFL2	m_wt	736	26.854123240767223
NP_001020387	m_wt	736	30.23260741922732
MYOZ1	m_wt	736	NA
BID	m_wt	736	NA
ARL1	m_wt	736	NA
ARL3	m_wt	736	23.202052660384684
SAR1A	m_wt	736	27.174742552797124
RAB1A	m_wt	736	NA
RBP1	m_wt	736	25.568483149680052
NP_001026962	m_wt	736	26.12957152584541
NAMPT	m_wt	736	24.49099919823603
SPARC	m_wt	736	26.512362276479717
OAS2	m_wt	736	NA
FADD	m_wt	736	NA
NP_001027548	m_wt	736	26.333557344408337
AGPAT1	m_wt	736	27.928183284139536
MYBPH	m_wt	736	NA
RPSA	m_wt	736	28.15450833806099
TPI1	m_wt	736	31.07348410572361
CTSD	m_wt	736	26.82238002414185
PSMB9	m_wt	736	NA
NP_001033089	m_wt	736	28.231142939933047
NP_001033096	m_wt	736	25.270349513218875
GNAQ	m_wt	736	26.342537120674407
NP_001033715	m_wt	736	31.53124899990534
DNASE1L1	m_wt	736	25.29316149309638
PALM	m_wt	736	25.54663168325486
PLIN1	m_wt	736	32.77136285952673
PALMD	m_wt	736	24.848713857815717
FABP5	m_wt	736	31.028613068647125
ENO3	m_wt	736	NA
NP_001038000	m_wt	736	25.299743238300227
GNA11	m_wt	736	NA
MTX2	m_wt	736	21.999379353113795
RPL6	m_wt	736	27.808515190846556
RPL10	m_wt	736	25.09389946979814
TUBA1B	m_wt	736	32.09292093470187
CKMT2	m_wt	736	NA
TMSB4X	m_wt	736	29.304999281293014
MGST3	m_wt	736	26.425760141357856
S100A6	m_wt	736	23.978757933036626
PPP1CA	m_wt	736	26.005581548875185
PPP1CC	m_wt	736	NA
NP_001038029	m_wt	736	NA
PSMB10	m_wt	736	NA
XP_020951792	m_wt	736	28.05522442057798
PRKG1	m_wt	736	NA
IDH3B	m_wt	736	24.795061062939183
GRN	m_wt	736	NA
STAT3	m_wt	736	24.976662007669123
CRYZ	m_wt	736	24.392704184482792
PLG	m_wt	736	29.385662189689626
F10	m_wt	736	NA
MYOZ2	m_wt	736	NA
RPS3	m_wt	736	27.93201934109503
CST3	m_wt	736	24.56203228797694
ATP5PO	m_wt	736	26.812376517686978
ECH1	m_wt	736	27.09948843487611
NME2	m_wt	736	28.35678447262356
ALDH2	m_wt	736	27.94542159916374
TUBB	m_wt	736	29.445947303352934
XP_020932993	m_wt	736	25.911502441124657
TXNIP	m_wt	736	NA
MPDU1	m_wt	736	24.29768092175554
CDK5	m_wt	736	23.903985522775148
XP_020957938	m_wt	736	32.16233958776402
ARF4	m_wt	736	27.276042028780537
ARL6IP5	m_wt	736	25.417156402581394
MIF	m_wt	736	NA
SRSF6	m_wt	736	25.25428992835638
HNRNPA1	m_wt	736	26.56169733462746
TRA2B	m_wt	736	22.76066716418194
SNRPA	m_wt	736	23.880636535177086
SRSF2	m_wt	736	NA
SERPINF1	m_wt	736	27.50187969364298
PARK7	m_wt	736	29.40490903345211
NAXE	m_wt	736	24.586805893786433
UBE2K	m_wt	736	24.536885103643844
UBE2D2	m_wt	736	NA
ARF6	m_wt	736	NA
CD81	m_wt	736	27.029495342233858
NDRG2	m_wt	736	26.229310247815544
FYN	m_wt	736	NA
ITGAV	m_wt	736	23.823084969541867
ACE	m_wt	736	24.148721719210197
SELENOF	m_wt	736	NA
HMBS	m_wt	736	NA
XP_005654459	m_wt	736	31.18819007144549
DDO	m_wt	736	23.91706899962906
NP_001090896	m_wt	736	26.60569020195657
P4HA1	m_wt	736	NA
BIN1	m_wt	736	NA
CD14	m_wt	736	24.135474453347165
C9	m_wt	736	25.936654112300797
C6	m_wt	736	NA
C8A	m_wt	736	25.447110727402485
C8B	m_wt	736	NA
C8G	m_wt	736	25.54627841343938
CAPZA1	m_wt	736	26.138953890265437
CAPZA2	m_wt	736	27.801933288907577
CTSB	m_wt	736	26.11991014533499
NP_001090937	m_wt	736	26.701340308573624
XP_020928261	m_wt	736	NA
COX6C	m_wt	736	27.016058094260426
NDUFV2	m_wt	736	25.186578249395136
XP_020953511	m_wt	736	26.937529895169984
XP_020923829	m_wt	736	25.98030608810298
RPL27	m_wt	736	26.827961525795075
XP_003128784	m_wt	736	NA
RPS26	m_wt	736	25.39835880712727
RPIA	m_wt	736	26.07740903169934
CSTB	m_wt	736	29.748040280912377
LGALS3	m_wt	736	25.7222363624489
HSPH1	m_wt	736	NA
ADSSL1	m_wt	736	NA
SDHD	m_wt	736	NA
PGRMC2	m_wt	736	27.8987371768568
AP3B1	m_wt	736	25.260871594139186
RABGGTA	m_wt	736	NA
RPLP0	m_wt	736	27.97792865997149
SFXN1	m_wt	736	NA
PNPLA2	m_wt	736	28.0210984991037
FASN	m_wt	736	36.531452362108
FABP3	m_wt	736	32.82583688247825
PGK1	m_wt	736	31.026569917650416
CAPN2	m_wt	736	28.42538399873002
IGFBP6	m_wt	736	NA
PPP2R5A	m_wt	736	NA
EIF4A3	m_wt	736	NA
EIF4A2	m_wt	736	28.27865837902693
EIF4A1	m_wt	736	25.270955410573162
ACOX1	m_wt	736	26.108709009775335
C2	m_wt	736	NA
SKIV2L	m_wt	736	NA
DPM1	m_wt	736	23.4776604515532
NP_001095294	m_wt	736	29.887697842685892
SNCG	m_wt	736	27.445611905287915
XP_020921683	m_wt	736	NA
SDHB	m_wt	736	27.583839934628767
COL5A3	m_wt	736	NA
COL5A2	m_wt	736	NA
LNPEP	m_wt	736	27.00227989142311
COPS6	m_wt	736	NA
COPS5	m_wt	736	24.216748818028144
COPS2	m_wt	736	25.06615917286476
XP_020955925	m_wt	736	25.89258987742707
SEC62	m_wt	736	NA
SIRT5	m_wt	736	NA
