Majority protein IDs	protein_ID	Gene Symbol
CON__ENSEMBL:ENSBTAP00000001528;XP_020926605.1	CON__ENSEMBL:ENSBTAP00000001528	-
CON__ENSEMBL:ENSBTAP00000001528;XP_020926605.1	XP_020926605.1	ITSN1
XP_005666566.1;CON__ENSEMBL:ENSBTAP00000023055;XP_003482383.1	XP_005666566.1	HGFAC
XP_005666566.1;CON__ENSEMBL:ENSBTAP00000023055;XP_003482383.1	CON__ENSEMBL:ENSBTAP00000023055	-
XP_005666566.1;CON__ENSEMBL:ENSBTAP00000023055;XP_003482383.1	XP_003482383.1	HGFAC
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	-
CON__ENSEMBL:ENSP00000377550;CON__P13646-1	CON__ENSEMBL:ENSP00000377550	-
CON__ENSEMBL:ENSP00000377550;CON__P13646-1	CON__P13646-1	-
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	XP_020934123.1	LOC100302368
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	XP_020934122.1	LOC100302368
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	XP_020934121.1	LOC100302368
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	XP_020934120.1	LOC100302368
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	XP_020934119.1	LOC100302368
CON__P01030	CON__P01030	-
CON__P01966	CON__P01966	-
CON__P02533;XP_020922661.1	CON__P02533	-
CON__P02533;XP_020922661.1	XP_020922661.1	LOC110255272
CON__P02538	CON__P02538	-
CON__P02662	CON__P02662	-
CON__P02754	CON__P02754	-
CON__P02768-1	CON__P02768-1	-
CON__P04258	CON__P04258	-
CON__P04259	CON__P04259	-
CON__P04264	CON__P04264	-
CON__P05787	CON__P05787	-
CON__P08727	CON__P08727	-
CON__P08779	CON__P08779	-
CON__P12763	CON__P12763	-
CON__P13645	CON__P13645	-
CON__P13647;XP_003126221.1	CON__P13647	-
CON__P13647;XP_003126221.1	XP_003126221.1	KRT5
CON__P15497	CON__P15497	-
CON__P19013	CON__P19013	-
CON__P34955	CON__P34955	-
CON__P35527	CON__P35527	-
CON__P35908v2;CON__P35908	CON__P35908v2	-
CON__P35908v2;CON__P35908	CON__P35908	-
CON__P41361	CON__P41361	-
NP_001123442.1;CON__P62894	NP_001123442.1	CYCS
NP_001123442.1;CON__P62894	CON__P62894	-
XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	XP_020949552.1	MT1D
XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	XP_003355856.1	MT-2B
XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	CON__P67983	-
XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	XP_020949551.1	MT1D
CON__Q04695;CON__Q9QWL7	CON__Q04695	-
CON__Q04695;CON__Q9QWL7	CON__Q9QWL7	-
CON__Q29443;CON__Q0IIK2	CON__Q29443	-
CON__Q29443;CON__Q0IIK2	CON__Q0IIK2	-
CON__Q1RMK2	CON__Q1RMK2	-
CON__Q2HJF0	CON__Q2HJF0	-
CON__Q2M2I5	CON__Q2M2I5	-
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	CON__Q7RTS7	-
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	XP_020947352.1	LOC100511079
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	XP_020947351.1	LOC100511079
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	CON__Q3SY84	-
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	XP_013840685.1	LOC106506651
CON__Q32PI4	CON__Q32PI4	-
CON__Q3KNV1;CON__P08729	CON__Q3KNV1	-
CON__Q3KNV1;CON__P08729	CON__P08729	-
CON__Q3SX09;CON__P02070	CON__Q3SX09	-
CON__Q3SX09;CON__P02070	CON__P02070	-
CON__Q3SX14	CON__Q3SX14	-
XP_005660265.1;CON__Q3SX28	XP_005660265.1	TPM2
XP_005660265.1;CON__Q3SX28	CON__Q3SX28	-
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q9Z2K1	-
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q3ZAW8	-
CON__Q5D862	CON__Q5D862	-
NP_001001534.1	NP_001001534.1	RYR1
NP_001001535.1;XP_020930326.1	NP_001001535.1	DES
NP_001001535.1;XP_020930326.1	XP_020930326.1	DES
NP_001001537.1	NP_001001537.1	ITIH4
NP_001001539.1	NP_001001539.1	AKR1B1
NP_001001542.1	NP_001001542.1	ATP1B1
NP_001001546.1	NP_001001546.1	MBP
XP_013842818.1;NP_001001587.1	XP_013842818.1	RPS28
XP_013842818.1;NP_001001587.1	NP_001001587.1	RPS28
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663430.1	TPM3
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663427.1	TPM3
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_020944392.1	TPM3
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663431.1	TPM3
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_020944391.1	TPM3
NP_001001634.1	NP_001001634.1	RPS17
XP_020924241.1;NP_001001636.1	XP_020924241.1	RPL32
XP_020924241.1;NP_001001636.1	NP_001001636.1	RPL32
NP_001001637.1;XP_005671774.1	NP_001001637.1	PDLIM3
NP_001001637.1;XP_005671774.1	XP_005671774.1	PDLIM3
NP_001001638.1	NP_001001638.1	RPL11
NP_001001640.1	NP_001001640.1	MAOA
NP_001001641.1	NP_001001641.1	EPHX2
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_020946860.1	PRKAG1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_020946859.1	PRKAG1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_005655600.1	PRKAG1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	NP_001001642.1	PRKAG1
NP_001001643.1	NP_001001643.1	GDI2
NP_001001649.2	NP_001001649.2	CDH5
NP_001001770.1	NP_001001770.1	CYB5A
NP_001001771.1	NP_001001771.1	FBN1
NP_001001862.1	NP_001001862.1	TNNC2
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937506.1	TNNT3
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937494.1	TNNT3
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937483.1	TNNT3
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937474.1	TNNT3
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937468.1	TNNT3
NP_001001867.1	NP_001001867.1	LGALS1
NP_001001869.1	NP_001001869.1	RNF114
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_020957907.1	APOC3
