Majority protein IDs	gene_name	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	KEGG Pathway Info
CON__ENSEMBL:ENSBTAP00000001528;XP_020926605.1	ITSN1	GO:0051056 [Name: regulation of small GTPase mediated signal transduction]; GO:0051897 [Name: positive regulation of protein kinase B signaling]; GO:0007264 [Name: small GTPase mediated signal transduction]; GO:0035023 [Name: regulation of Rho protein signal transduction]; GO:0061024 [Name: membrane organization]; GO:0016032 [Name: viral process]; GO:0033674 [Name: positive regulation of kinase activity]; GO:0048013 [Name: ephrin receptor signaling pathway]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0007186 [Name: G-protein coupled receptor signaling pathway]; GO:0043065 [Name: positive regulation of apoptotic process]; GO:0048488 [Name: synaptic vesicle endocytosis]	GO:0005886 [Name: plasma membrane]; GO:0030139 [Name: endocytic vesicle]; GO:0005905 [Name: clathrin-coated pit]; GO:0005829 [Name: cytosol]; GO:0030054 [Name: cell junction]; GO:0098833 [Name: presynaptic endocytic zone]; GO:0044305 [Name: calyx of Held]; GO:0005635 [Name: nuclear envelope]; GO:0030027 [Name: lamellipodium]	GO:0005089 [Name: Rho guanyl-nucleotide exchange factor activity]; GO:0019209 [Name: kinase activator activity]; GO:0005085 [Name: guanyl-nucleotide exchange factor activity]; GO:0032947 [Name: protein complex scaffold]; GO:0070064 [Name: proline-rich region binding]; GO:0005515 [Name: protein binding]; GO:0005509 [Name: calcium ion binding]	-
CON__ENSEMBL:ENSBTAP00000024146	NA	-	-	-	-
CON__ENSEMBL:ENSP00000377550;CON__P13646-1	NA	-	-	-	-
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	LOC100302368	-	-	-	-
CON__P01030	NA	-	-	-	-
CON__P01966	NA	-	-	-	-
CON__P02533;XP_020922661.1	LOC110255272	-	-	-	-
CON__P02538	NA	-	-	-	-
CON__P02662	NA	-	-	-	-
CON__P02754	NA	-	-	-	-
CON__P02768-1	NA	-	-	-	-
CON__P04258	NA	-	-	-	-
CON__P04259	NA	-	-	-	-
CON__P04264	NA	-	-	-	-
CON__P05787	NA	-	-	-	-
CON__P08727	NA	-	-	-	-
CON__P08779	NA	-	-	-	-
CON__P12763	NA	-	-	-	-
CON__P13645	NA	-	-	-	-
CON__P13647;XP_003126221.1	KRT5	GO:0007010 [Name: cytoskeleton organization]; GO:0008544 [Name: epidermis development]; GO:0031424 [Name: keratinization]; GO:0070268 [Name: cornification]; GO:0031581 [Name: hemidesmosome assembly]	GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0045095 [Name: keratin filament]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0005882 [Name: intermediate filament]	GO:0097110 [Name: scaffold protein binding]; GO:0005515 [Name: protein binding]; GO:0005200 [Name: structural constituent of cytoskeleton]	-
CON__P15497	NA	-	-	-	-
CON__P19013	NA	-	-	-	-
CON__P34955	NA	-	-	-	-
CON__P35527	NA	-	-	-	-
