Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity 736_m_wt	LFQ intensity 736_sc_wt	LFQ intensity 737_m_midy	LFQ intensity 737_sc_midy	LFQ intensity 738_m_wt	LFQ intensity 738_sc_wt	LFQ intensity 739_m_midy	LFQ intensity 739_sc_midy	LFQ intensity 740_m_midy	LFQ intensity 740_sc_midy	LFQ intensity 741_m_wt	LFQ intensity 741_sc_wt	LFQ intensity 743_m_wt	LFQ intensity 743_sc_midy	LFQ intensity 744_m_midy	LFQ intensity 744_sc_midy	LFQ intensity 745_m_wt	LFQ intensity 745_sc_wt	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
CON__ENSEMBL:ENSBTAP00000001528;XP_020926605.1	CON__ENSEMBL:ENSBTAP00000001528;XP_020926605.1	;XP_020926605.1 LOW QUALITY PROTEIN: intersectin-1 [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	ITSN1	NA;ITSN1;NA;NA;NA	regulation of small GTPase mediated signal transduction;positive regulation of protein kinase B signaling;small GTPase mediated signal transduction;regulation of Rho protein signal transduction;membrane organization;viral process;positive regulation of kinase activity;ephrin receptor signaling pathway;negative regulation of neuron apoptotic process;G-protein coupled receptor signaling pathway;positive regulation of apoptotic process;synaptic vesicle endocytosis	GO:005105; GO:005189; GO:000726; GO:003502; GO:006102; GO:001603; GO:003367; GO:004801; GO:004352; GO:000718; GO:004306; GO:004848	plasma membrane;endocytic vesicle;clathrin-coated pit;cytosol;cell junction;presynaptic endocytic zone;calyx of Held;nuclear envelope;lamellipodium	GO:000588; GO:003013; GO:000590; GO:000582; GO:003005; GO:009883; GO:004430; GO:000563; GO:003002	"NA"	"NA"	Rho guanyl-nucleotide exchange factor activity;kinase activator activity;guanyl-nucleotide exchange factor activity;protein complex scaffold;proline-rich region binding;protein binding;calcium ion binding	GO:000508; GO:001920; GO:000508; GO:003294; GO:007006; GO:000551; GO:000550
XP_005666566.1;CON__ENSEMBL:ENSBTAP00000023055;XP_003482383.1	XP_005666566.1;CON__ENSEMBL:ENSBTAP00000023055;XP_003482383.1	XP_005666566.1 hepatocyte growth factor activator isoform X2 [Sus scrofa];;XP_003482383.1 hepatocyte growth factor activator isoform X1 [Sus scrofa]	2	2	2	0	0	0	0	0	21030000	0	0	15834000	0	10097000	0	0	0	0	0	8646300	0	NA	NA	+	HGFAC	HGFAC;NA;HGFAC;NA;NA	proteolysis	GO:000650	cytosol;rough endoplasmic reticulum;extracellular region;extracellular space	GO:000582; GO:000579; GO:000557; GO:000561	"NA"	"NA"	serine-type peptidase activity;serine-type endopeptidase activity	GO:000823; GO:000425
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	NA	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39885000	+	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__ENSEMBL:ENSP00000377550;CON__P13646-1	CON__ENSEMBL:ENSP00000377550;CON__P13646-1	;	18	10	4	0	0	0	0	308700000	0	0	0	0	42072000	0	0	0	0	0	0	39950000	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	;XP_020934123.1 trypsinogen isoform X1 [Sus scrofa];XP_020934122.1 trypsinogen isoform X1 [Sus scrofa];XP_020934121.1 trypsinogen isoform X1 [Sus scrofa];XP_020934120.1 trypsinogen isoform X1 [Sus scrofa];XP_020934119.1 trypsinogen isoform X1 [Sus scrofa];	5	5	5	4828500000	5899500000	5612100000	6143700000	5316400000	6955700000	5695300000	5416900000	4892300000	4554800000	6192000000	1421300000	7818300000	8919200000	8764200000	5510300000	7690700000	6611000000	NA	NA	+	LOC100302368	LOC100302368;LOC100302368;LOC100302368;LOC100302368;LOC100302368	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P01030	CON__P01030	NA	6	2	2	0	37509000	28420000	49705000	48141000	97541000	46867000	43375000	0	32563000	0	74187000	0	0	0	38582000	43068000	61202000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P01966	CON__P01966	NA	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379360000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02533;XP_020922661.1;CON__Q61782;XP_020921966.1	CON__P02533;XP_020922661.1	;XP_020922661.1 keratin, type I cytoskeletal 14-like [Sus scrofa]	24	15	3	79649000	80689000	46707000	272440000	608390000	33826000	62150000	28242000	0	82551000	20612000	46804000	76040000	0	44199000	0	148080000	0	NA	NA	+	LOC110255272	NA;LOC110255272;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02538;XP_013840212.2;CON__O95678;XP_003355445.3;XP_020947339.1;XP_020947338.1;XP_020947337.1;CON__H-INV:HIT000016045;CON__REFSEQ:XP_932229	CON__P02538	NA	32	22	1	22968000	0	0	160200000	2199200000	0	22483000	0	0	69328000	0	16293000	0	0	19653000	0	44409000	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02662	CON__P02662	NA	3	3	3	0	0	0	0	0	0	4809000	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
